l_neighborhood,deal_price,area_size,meter_price,lng,lat,uuid,rs_score
shf,800000,500.0,1600,46.7076851,24.5743668,c38a7951-7981-4195-a6fb-26c419ec8d2a,0.7254
nr,70668000,15704.0,4500,46.6358447,24.8850186,0c7be676-31c7-4818-8f10-227b63c25bcf,0.6452
nr,6615000,1050.0,6300,46.6836554,24.8386695,3871dffe-95ad-4481-af88-3a4a46030833,0.8286
ml,4000000,600.0,6667,46.6194723,24.7924633,d3815ccc-4ba4-4196-986a-9c3c66c24bc4,0.7891
shf,513000,337.5,1520,46.6969504,24.5550241,7782451a-afaa-4650-b34d-d5dbc437ad03,0.7148
nr,1742580,378.0,4610,46.6567624,24.848673,f7d737f4-e66e-4d8d-b7f3-5884f897df61,0.7634
ml,1101588,1120.0,984,46.6156411,24.8098518,85673e36-2d13-4f09-91d3-6914c325fa4f,0.8007
ml,2490151,718.82,3464,46.6087778,24.8087938,26764f57-3b24-4f30-876a-aed812a308f1,0.7989
ml,5082000,840.0,6050,46.6003304,24.817877,b4cdb45f-eb6f-4b8b-9fb8-cc23566ea9ce,0.8059
rd,1500000,525.0,2857,46.7611871,24.7349978,bf47b3ee-b611-489e-9ce3-4da0037da530,0.2287
ml,1000000,300.0,3333,46.6209635,24.7911011,af402266-e715-44b8-84a2-9f3458cb6041,0.7882
nr,1745484,378.63,4610,46.6559133,24.8483158,40b5dd6e-9c90-4701-9981-329a9ef62c45,0.7603
nr,1531920,312.0,4910,46.6541725,24.8489699,62cb76a8-b1d8-48ca-8654-c7fcc363decd,0.7577
ml,4000000,324.0,12346,46.5930012,24.8093171,efdf2668-f4e0-4401-9356-7087e79203af,0.7783
shf,100000,400.0,250,46.6929519,24.5648548,8f3d071c-7b1f-41dc-a8db-db2879c52c28,0.7152
tn,800000,337.5,2370,46.6969449,24.7791818,6f13b4d5-e5ed-4f96-8efd-eb651d1aca93,0.7143
rd,3875000,775.0,5000,46.7578332,24.7428307,8f9a2942-f2a2-4bf5-9604-2c252da49d19,0.2792
nr,9108000,1980.0,4600,46.6284074,24.9022716,1e9a418d-f950-40f1-bb2f-a2cc6882d239,0.5535
nr,2000000,500.0,4000,46.6573877,24.8857254,8aff9e3c-05f8-40d3-8aaa-01ec0319ba36,0.6479
ml,6300000,900.0,7000,46.5959213,24.8054558,8aad84a2-9807-4642-810f-271282ca1510,0.7824
rd,2500000,525.0,4762,46.7611871,24.7349978,26c6288c-60af-416d-a298-85da7940b795,0.2287
shf,1050000,575.0,1826,46.6823204,24.5577807,87893c9b-a1f8-4a67-80ee-db2bd51263ea,0.6978
shf,1000000,630.0,1587,46.6871354,24.5649708,d98d668c-ba80-41f4-b296-984f0d6f97d8,0.7028
ml,3150000,500.0,6300,46.6224594,24.7947188,2dfaef96-da8c-4510-b18f-c1d389b61848,0.7981
shf,600000,300.0,2000,46.695149,24.5500989,24553aa9-471d-4f19-85d0-934155c3dfb8,0.7206
rd,650000,408.2,1592,46.7727146,24.7333164,76c3e347-c5bc-4f31-8a78-d2357034538a,0.1588
rd,6000000,2465.85,2433,46.7805873,24.7282007,5fbaf4b1-be93-4a57-9401-57b8944e0f70,0.0947
shf,675000,450.0,1500,46.69426,24.5670823,1d90f9c8-728a-4b6d-b305-e35cdfadcbb1,0.7258
tn,3300000,372.5,8859,46.6975281,24.7758903,e5f225a3-7848-48a6-bcf2-25a1e156504a,0.7049
rd,2400000,616.0,3896,46.7599544,24.7399026,3ebfb3d6-8f97-48c4-a566-47092342fd52,0.2559
nr,3900000,780.0,5000,46.6646667,24.8769302,9e33cc0c-faa4-4f49-b911-cc950ad30fd6,0.6817
rd,275000,675.0,407,46.762746,24.7242352,f9869203-6b35-4822-81f1-d74e811769f0,0.1706
ml,35226550,2535.3,13894,46.6162881,24.8208115,33477411-9832-44eb-a947-4113ea7681d6,0.7682
rd,6288000,1048.05,6000,46.7543222,24.7321747,04d0b120-b683-401a-9bc3-1268596e9bf9,0.2508
